Name,Phase,Drug Type,Passes Rule of Five,Chirality,Smiles,Selfies
CHLORAL HYDRATE,4,1:Synthetic Small Molecule,1,Achiral Molecule,OC(O)C(Cl)(Cl)Cl,[O][C][Branch1][C][O][C][Branch1][C][Cl][Branch1][C][Cl][Cl]
PAPAVERINE,4,1:Synthetic Small Molecule,1,Achiral Molecule,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,[C][O][C][=C][C][=C][Branch2][Ring1][Branch2][C][C][=N][C][=C][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][=C][Ring1][#Branch2][C][=C][Ring2][Ring1][Branch1][O][C]
ETIFOXINE,3,1:Synthetic Small Molecule,1,Racemic Mixture,CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1,[C][C][N][C][=N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][Branch1][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring2][Ring1][C]
GALACTOSE,3,1:Synthetic Small Molecule,1,Single Stereoisomer,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,[O][C][C@H1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Ring1][=Branch2][O]
POLIHEXANIDE,4,1:Synthetic Small Molecule,1,Achiral Molecule,CCCCCCNC(=N)NC(=N)N,[C][C][C][C][C][C][N][C][=Branch1][C][=N][N][C][=Branch1][C][=N][N]
DOLASETRON,4,1:Synthetic Small Molecule,1,Single Stereoisomer,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,[O][=C][Branch2][Ring1][=Branch1][O][C@@H1][C][C@@H1][C][C@H1][C][C@H1][Branch1][Ring2][C][Ring1][Branch2][N][Ring1][#Branch1][C][C][Ring1][#Branch1][=O][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1]
HYODEOXYCHOLIC_ACID,1,1:Synthetic Small Molecule,1,Single Stereoisomer,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,[C][C@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C@H1][C][C][C@H1][C@@H1][C][C@H1][Branch1][C][O][C@@H1][C][C@H1][Branch1][C][O][C][C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][=N][C][C][C@][Ring2][Ring1][Ring2][Ring1][P][C]
GUAIACOL,3,1:Synthetic Small Molecule,1,Achiral Molecule,COc1ccccc1O,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O]
DSM-265,2,1:Synthetic Small Molecule,0,Achiral Molecule,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(C(C)(F)F)nc2n1,[C][C][C][=C][Branch2][Ring1][#Branch2][N][C][=C][C][=C][Branch1][#C][S][Branch1][C][F][Branch1][C][F][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][N][N][N][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][F][F][N][=C][Ring1][=Branch2][N][=Ring2][Ring1][#Branch2]
GSK-356278,1,1:Synthetic Small Molecule,1,Achiral Molecule,CCn1ncc2c(NC3CCOCC3)c(-c3nnc(Cc4sc(C)nc4C)o3)cnc21,[C][C][N][N][=C][C][=C][Branch1][#Branch2][N][C][C][C][O][C][C][Ring1][=Branch1][C][Branch2][Ring1][=Branch1][C][=N][N][=C][Branch1][=N][C][C][S][C][Branch1][C][C][=N][C][=Ring1][=Branch1][C][O][Ring1][=N][=C][N][=C][Ring2][Ring1][#Branch2][Ring2][Ring1][=N]
